年,月,日,曜日,市場名,市場コード,品目名,品目コード,産地名,産地コード,品目計,入荷量,高値,中値,安値,等級,階級,品名,量目,動向
2016,11,28,月,横浜本場,14300,だいこん,30100,千　葉,012,138.4,73.3,-,864,-,A,LL,,10,弱保合
2016,11,28,月,横浜本場,14300,だいこん,30100,神奈川,014,,58.6,972,-,864,,LL,青首,10,
2016,11,28,月,横浜本場,14300,だいこん,30100,茨　城,008,,4.4,1080,648,648,,LL,,10,
2016,11,28,月,横浜本場,14300,かぶ,30200,埼　玉,011,15.9,3.3,-,-,-,ﾄﾚｽﾞ,,,,保合
2016,11,28,月,横浜本場,14300,かぶ,30200,青　森,002,,0.7,-,2160,-,A,M,赤かぶ,10,
2016,11,28,月,横浜本場,14300,にんじん,30300,千　葉,012,49.3,42.7,2160,1404,1296,A,L,,10,弱保合
2016,11,28,月,横浜本場,14300,にんじん,30300,中　国,054,,3.2,756,-,670,,LL,,10,
2016,11,28,月,横浜本場,14300,にんじん,30300,香　川,037,,,1944,-,540,ｼﾕｳ,3L,金時,5,
2016,11,28,月,横浜本場,14300,ごぼう,30400,青　森,002,6.7,6.3,184,-,173,,M,泥付き,0.4,保合
2016,11,28,月,横浜本場,14300,たけのこ,30500,高　知,039,0.1,,-,-,-,ﾄﾚｽﾞ,,,,強保合
2016,11,28,月,横浜本場,14300,れんこん,30600,茨　城,008,6.5,5.9,2808,2700,2592,A,M,,4,保合
2016,11,28,月,横浜本場,14300,はくさい,31100,茨　城,008,105.4,97.1,-,918,-,,,,10,強保合
2016,11,28,月,横浜本場,14300,はくさい,31100,群　馬,010,,6.7,-,1080,-,,L,黄芯,15,
2016,11,28,月,横浜本場,14300,みず菜,31310,茨　城,008,9.1,8.5,86,65,54,A,L,,0.2,保合
2016,11,28,月,横浜本場,14300,こまつな,31500,茨　城,008,12.7,6.9,86,76,76,,M,,0.25,保合
2016,11,28,月,横浜本場,14300,こまつな,31500,その他国,996,,1.0,108,86,76,,,,0.3,
2016,11,28,月,横浜本場,14300,キャベツ,31700,神奈川,014,131.7,31.4,1188,-,1080,,L,,10,弱保合
2016,11,28,月,横浜本場,14300,キャベツ,31700,愛　知,023,,50.8,1512,1220,1188,ｼﾕｳ,8,,10,
2016,11,28,月,横浜本場,14300,キャベツ,31700,千　葉,012,,25.0,1404,1134,1080,,L,春,10,
2016,11,28,月,横浜本場,14300,ほうれんそう,31800,群　馬,010,23.3,11.8,130,130,86,A,M,,0.2,保合
2016,11,28,月,横浜本場,14300,ほうれんそう,31800,茨　城,008,,5.6,108,97,86,,M,,0.2,
2016,11,28,月,横浜本場,14300,ほうれんそう,31800,その他国,996,,0.3,140,108,108,,,,0.3,
2016,11,28,月,横浜本場,14300,ねぎ,31900,山　形,006,44.3,4.3,1404,1296,1080,A,LL,,5,強保合
2016,11,28,月,横浜本場,14300,ねぎ,31900,新　潟,015,,6.2,-,1836,-,A,Lﾀﾊﾞ,,5,
2016,11,28,月,横浜本場,14300,ねぎ,31900,茨　城,008,,5.7,-,1620,-,ﾊﾞﾗ,L,,5,
2016,11,28,月,横浜本場,14300,こねぎ,31930,佐　賀,041,2.3,0.4,151,130,130,ｼﾕｳ,M,,0.1,保合
2016,11,28,月,横浜本場,14300,こねぎ,31930,千　葉,012,,0.3,1620,-,1512,,L,,2,
2016,11,28,月,横浜本場,14300,わけぎ,32100,千　葉,012,0.3,0.3,162,130,86,,L,,0.2,保合
2016,11,28,月,横浜本場,14300,ふき,32300,愛　知,023,1.5,1.5,1080,864,864,ｼﾕｳ,LL,,4,保合
2016,11,28,月,横浜本場,14300,みつば,32500,千　葉,012,1.6,0.6,648,486,486,ﾄｸ,LL,糸みつば,3,弱保合
2016,11,28,月,横浜本場,14300,みつば,32500,茨　城,008,,0.5,648,540,432,A,L,糸みつば,1,
2016,11,28,月,横浜本場,14300,しゅんぎく,32600,千　葉,012,3.8,2.0,108,-,70,A,,,0.15,保合
2016,11,28,月,横浜本場,14300,しゅんぎく,32600,茨　城,008,,0.5,-,76,-,A,,,0.15,
2016,11,28,月,横浜本場,14300,しゅんぎく,32600,その他国,996,,0.0,-,76,-,,,,0.2,
2016,11,28,月,横浜本場,14300,にら,32800,栃　木,009,7.1,2.5,103,-,97,A,L,,0.1,弱保合
2016,11,28,月,横浜本場,14300,にら,32800,高　知,039,,3.1,97,-,86,A,M,,0.1,
2016,11,28,月,横浜本場,14300,にら,32800,茨　城,008,,0.7,76,-,65,A,LL,,0.1,
2016,11,28,月,横浜本場,14300,セルリー,32900,静　岡,022,5.6,3.3,3240,3240,3024,A,LL,,10,保合
2016,11,28,月,横浜本場,14300,カリフラワー,33200,長　野,020,2.9,,-,-,-,ﾄﾚｽﾞ,,,,強い
2016,11,28,月,横浜本場,14300,カリフラワー,33200,神奈川,014,,1.5,-,1296,-,,M,,6,
2016,11,28,月,横浜本場,14300,ブロッコリー,33300,群　馬,010,18.2,2.8,2160,1728,1620,A,L,,4,弱保合
2016,11,28,月,横浜本場,14300,ブロッコリー,33300,愛　知,023,,4.5,2160,1836,1836,ｼﾕｳ,12,,5,
2016,11,28,月,横浜本場,14300,ブロッコリー,33300,長　崎,042,,1.5,-,3024,-,ｼﾕｳ,M,,6,
2016,11,28,月,横浜本場,14300,レタス,33400,茨　城,008,58.8,24.4,-,1069,-,A,,,10,保合
2016,11,28,月,横浜本場,14300,レタス,33400,静　岡,022,,20.1,2808,2484,2484,A,LL,,10,
2016,11,28,月,横浜本場,14300,レタス,33400,香　川,037,,7.1,-,2484,-,ｼﾕｳ,LL,,10,
2016,11,28,月,横浜本場,14300,チンゲンサイ,33810,茨　城,008,5.9,5.2,864,540,540,,L,,2,保合
2016,11,28,月,横浜本場,14300,チンゲンサイ,33810,静　岡,022,,0.3,756,-,648,A,M,,2,
2016,11,28,月,横浜本場,14300,きゅうり,34100,宮　崎,045,54.4,21.5,-,2106,-,A,M,ハウス,5,強保合
2016,11,28,月,横浜本場,14300,きゅうり,34100,高　知,039,,19.3,2376,-,2160,A,M,白いぼ,5,
2016,11,28,月,横浜本場,14300,きゅうり,34100,群　馬,010,,4.7,2376,2160,1728,A,S,,5,
2016,11,28,月,横浜本場,14300,かぼちゃ,34200,北海道,001,26.3,17.1,3240,-,3024,ｼﾕｳ,5,えびす,10,弱保合
2016,11,28,月,横浜本場,14300,なす,34300,高　知,039,25.8,17.7,178,-,167,B,M,,0.4,弱保合
2016,11,28,月,横浜本場,14300,なす,34300,熊　本,043,,4.0,1944,-,1836,ｼﾕｳ,L,長なす,4,
2016,11,28,月,横浜本場,14300,なす,34300,福　岡,040,,1.8,184,-,162,A,L,長なす,0.3,
2016,11,28,月,横浜本場,14300,トマト,34400,熊　本,043,39.5,25.5,3024,2916,1944,B,L,桃太郎,4,弱い
2016,11,28,月,横浜本場,14300,トマト,34400,千　葉,012,,8.4,3672,1620,1620,A,M,桃太郎,4,
2016,11,28,月,横浜本場,14300,ミニトマト,34460,長　崎,042,11.1,1.2,259,248,146,ｼﾕｳ,M,,0.2,保合
2016,11,28,月,横浜本場,14300,ミニトマト,34460,熊　本,043,,3.9,4320,-,3780,ｼﾕｳ,M,,3,
2016,11,28,月,横浜本場,14300,ピーマン,34500,高　知,039,22.7,10.3,86,86,54,A,M,,0.15,弱保合
2016,11,28,月,横浜本場,14300,ピーマン,34500,茨　城,008,,4.5,2160,1944,1836,ﾊﾞﾗA,L,,4,
2016,11,28,月,横浜本場,14300,ピーマン,34500,韓　国,050,,2.7,3780,3132,2916,A,M,パプリカ,5,
2016,11,28,月,横浜本場,14300,ししとう,34600,高　知,039,0.7,0.6,162,140,130,A,M,,0.1,強い
2016,11,28,月,横浜本場,14300,オクラ,34800,沖　縄,047,0.8,0.5,-,-,-,ﾄﾚｽﾞ,,,,保合
2016,11,28,月,横浜本場,14300,にがうり,34930,沖　縄,047,0.4,0.2,-,-,-,ﾄﾚｽﾞ,,,,保合
2016,11,28,月,横浜本場,14300,さやいんげん,35100,長　崎,042,2.7,0.8,-,1080,-,ﾕｳ,M,,2,比較できず
2016,11,28,月,横浜本場,14300,さやえんどう,35200,長　崎,042,1.8,0.5,-,1620,-,ｼﾕｳ,L,,1,強い
2016,11,28,月,横浜本場,14300,ピース,35300,長　崎,042,0.0,,-,-,-,ﾄﾚｽﾞ,,,,比較できず
2016,11,28,月,横浜本場,14300,えだまめ,35500,山　形,006,0.5,0.5,-,194,-,A,,秘伝豆,0.25,弱い
2016,11,28,月,横浜本場,14300,かんしょ,36100,茨　城,008,25.6,9.1,648,-,540,A,3L,べにはる,5,保合
2016,11,28,月,横浜本場,14300,かんしょ,36100,千　葉,012,,11.0,864,756,648,,S,紅あずま,5,
2016,11,28,月,横浜本場,14300,かんしょ,36100,徳　島,036,,5.4,1728,-,1620,2,L,金時,5,
2016,11,28,月,横浜本場,14300,ばれいしょ,36200,北海道,001,27.0,27.0,2376,2160,2052,,L,男爵,10,保合
2016,11,28,月,横浜本場,14300,さといも,36300,千　葉,012,10.8,1.6,-,1512,-,,LL,セレベス,5,強い
2016,11,28,月,横浜本場,14300,さといも,36300,中　国,054,,0.3,-,1944,-,,LL,,10,
2016,11,28,月,横浜本場,14300,さといも,36300,その他国,996,,0.2,-,130,-,A,LL,,0.8,
2016,11,28,月,横浜本場,14300,ながいも,36400,青　森,002,2.6,2.0,-,4104,-,C2L,ｼﾞﾖｳ,,10,弱保合
2016,11,28,月,横浜本場,14300,ながいも,36400,北海道,001,,0.4,-,3564,-,C,L,,10,
2016,11,28,月,横浜本場,14300,やまといも,36510,群　馬,010,2.0,0.0,-,-,-,ﾄﾚｽﾞ,,,,比較できず
2016,11,28,月,横浜本場,14300,たまねぎ,36600,北海道,001,117.2,113.1,1620,-,1404,,L,,20,強い
2016,11,28,月,横浜本場,14300,にんにく,36700,,,2.4,,,,,,,,,強い
2016,11,28,月,横浜本場,14300,根しょうが,37260,中　国,054,2.8,1.0,1836,-,1620,A,ﾊﾞﾗ,,5,弱保合
2016,11,28,月,横浜本場,14300,生しいたけ,38100,秋　田,005,9.2,4.2,-,162,-,A,M6,菌床,0.1,強保合
2016,11,28,月,横浜本場,14300,生しいたけ,38100,山　形,006,,0.6,173,162,130,A,6M,菌床,0.1,
2016,11,28,月,横浜本場,14300,なめこ,38300,山　形,006,3.1,1.0,81,54,54,A,S,,0.1,保合
2016,11,28,月,横浜本場,14300,えのきだけ,38400,長　野,020,16.4,15.9,76,70,69,A,A,,0.2,保合
2016,11,28,月,横浜本場,14300,しめじ,38500,長　野,020,8.0,7.2,70,70,59,A,A,ぶなＮＮ,0.1,保合
2016,11,28,月,横浜本場,14300,まいたけ,38620,新　潟,015,1.4,0.7,162,140,130,M,,,0.1,保合
2016,11,28,月,横浜本場,14300,野菜総計,39900,,,1077.0,,,,,,,,,
